Title,Pop
American Beauty (1999),4
Stop Making Sense (1984),3
Blue Streak (1999),2
For Love of the Game (1999),3
Caligula (1980),2
"Hard Day's Night, A (1964)",4
Splendor (1999),1
Sugar Town (1999),1
"Buddy Holly Story, The (1978)",3
Fright Night (1985),3
Fright Night Part II (1989),1
"Separation, The (La Séparation) (1994)",0
Barefoot in the Park (1967),3
Deliverance (1972),4
Excalibur (1981),4
Lulu on the Bridge (1998),1
"Pajama Game, The (1957)",2
Sommersby (1993),3
Thumbelina (1994),1
Tommy (1975),3
Hell Night (1981),1
Operation Condor (Feiying gaiwak) (1990),2
Operation Condor 2 (Longxiong hudi) (1990),2
Double Jeopardy (1999),4
Jakob the Liar (1999),2
Mumford (1999),3
Dog Park (1998),1
Guinevere (1999),1
"Adventures of Elmo in Grouchland, The (1999)",1
Simon Sez (1999),0
Drive Me Crazy (1999),2
"Mystery, Alaska (1999)",3
Three Kings (1999),4
"Happy, Texas (1999)",3
New Rose Hotel (1998),0
Plunkett & MaCleane (1999),1
Romance (1999),1
Napoleon and Samantha (1972),0
Alvarez Kelly (1966),1
And the Ship Sails On (E la nave va) (1984),1
"Dark Half, The (1993)",2
Gulliver's Travels (1939),2
Monkey Shines (1988),2
Phantasm (1979),3
Psycho II (1983),2
Psycho III (1986),2
Rain (1932),1
Sanjuro (1962),2
Random Hearts (1999),3
Superstar (1999),3
Boys Don't Cry (1999),4
"Five Wives, Three Secretaries and Me (1998)",0
"Ennui, L' (1998)",0
"Grandfather, The (El Abuelo) (1998)",0
"Limey, The (1999)",4
"Mating Habits of the Earthbound Human, The (1998)",1
Molly (1999),0
Risky Business (1983),4
Total Recall (1990),4
Body Heat (1981),4
Ferris Bueller's Day Off (1986),4
Year of Living Dangerously (1982),3
Children of Paradise (Les enfants du paradis) (1945),2
High Plains Drifter (1972),3
Hang 'em High (1967),3
Citizen's Band (a.k.a. Handle with Care) (1977),1
Drunken Master (Zui quan) (1979),2
"Conformist, The (Il Conformista) (1970)",1
Hairspray (1988),4
Brief Encounter (1946),2
"Razor's Edge, The (1984)",2
Reds (1981),3
Return with Honor (1998),0
Time of the Gypsies (Dom za vesanje) (1989),0
Days of Heaven (1978),2
"Fire Within, The (Le Feu Follet) (1963)",0
"Love Bewitched, A (El Amor Brujo) (1986)",0
"Lady Eve, The (1941)",2
Sullivan's Travels (1942),2
"Palm Beach Story, The (1942)",2
Man Facing Southeast (Hombre Mirando al Sudeste) (1986),1
Niagara (1953),1
Gilda (1946),2
South Pacific (1958),3
Flashdance (1983),3
Indochine (1992),2
"Dirty Dozen, The (1967)",4
Mike's Murder (1984),1
Help! (1965),3
Goldfinger (1964),4
From Russia with Love (1963),4
Dr. No (1962),4
"Blue Lagoon, The (1980)",3
"Fistful of Dollars, A (1964)",4
"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",3
Home Alone 2: Lost in New York (1992),3
Penitentiary (1979),0
Penitentiary II (1982),0
Someone to Watch Over Me (1987),2
Sparrows (1926),0
Naturally Native (1998),0
Fight Club (1999),4
Beefcake (1999),0
"Story of Us, The (1999)",3
Fever Pitch (1997),0
Joe the King (1999),1
Julien Donkey-Boy (1999),0
"Omega Code, The (1999)",2
"Straight Story, The (1999)",4
"Bad Seed, The (1956)",2
Time Bandits (1981),4
"Man and a Woman, A (Un Homme et une Femme) (1966)",2
Fitzcarraldo (1982),2
All That Jazz (1979),3
Red Sorghum (Hong Gao Liang) (1987),2
Crimes and Misdemeanors (1989),4
Bats (1999),2
"Best Man, The (1999)",2
Bringing Out the Dead (1999),4
Crazy in Alabama (1999),1
Three to Tango (1999),2
Body Shots (1999),1
Men Cry Bullets (1997),0
"Brother, Can You Spare a Dime? (1975)",0
"Guardian, The (1990)",1
"Ipcress File, The (1965)",2
On Any Sunday (1971),0
Robocop (1987),4
Robocop 2 (1990),4
Who Framed Roger Rabbit? (1988),4
Melvin and Howard (1980),2
For Your Eyes Only (1981),4
Licence to Kill (1989),3
Live and Let Die (1973),4
Rawhead Rex (1986),1
Thunderball (1965),3
"City, The (1998)",0
"House on Haunted Hill, The (1999)",3
Music of the Heart (1999),2
Being John Malkovich (1999),4
Dreaming of Joseph Lees (1998),0
Man of the Century (1999),0
"Princess Mononoke, The (Mononoke Hime) (1997)",3
"Suburbans, The (1999)",0
My Best Fiend (Mein liebster Feind) (1999),1
Train of Life (Train De Vie) (1998),0
"Bachelor, The (1999)",3
"Bone Collector, The (1999)",4
"Insider, The (1999)",4
American Movie (1999),3
Last Night (1998),1
Portraits Chinois (1996),0
Rosetta (1999),1
"They Shoot Horses, Don't They? (1969)",2
Battling Butler (1926),0
Bride of Re-Animator (1990),2
Bustin' Loose (1981),1
Coma (1978),2
Creepshow (1982),4
Creepshow 2 (1987),2
Re-Animator (1985),3
Drugstore Cowboy (1989),4
Falling Down (1993),4
"Funhouse, The (1981)",1
"General, The (1927)",3
My Best Girl (1927),0
Piranha (1978),2
Rough Night in Jericho (1967),0
Slaughterhouse (1987),0
Slaughterhouse 2 (1988),0
"Taming of the Shrew, The (1967)",2
Nighthawks (1981),3
Yojimbo (1961),3
Repossessed (1990),1
"Omega Man, The (1971)",3
Spaceballs (1987),4
Robin Hood (1973),3
Mister Roberts (1955),4
Quest for Fire (1981),2
Little Big Man (1970),4
"Face in the Crowd, A (1957)",2
Trading Places (1983),4
Meatballs (1979),3
Meatballs Part II (1984),2
Meatballs III (1987),2
Meatballs 4 (1992),1
Dead Again (1991),4
Peter's Friends (1992),2
"Incredibly True Adventure of Two Girls in Love, The (1995)",2
Experience Preferred... But Not Essential (1982),1
Under the Rainbow (1981),2
How I Won the War (1967),1
Light It Up (1999),0
Anywhere But Here (1999),2
Dogma (1999),4
"Messenger: The Story of Joan of Arc, The (1999)",3
Pokémon: The First Movie (1998),2
Felicia's Journey (1999),2
Oxygen (1999),0
Where's Marlowe? (1999),0
"Ape, The (1940)",0
British Intelligence (1940),0
"Commitments, The (1991)",4
Holiday Inn (1942),3
"Longest Day, The (1962)",3
Poison Ivy (1992),2
Poison Ivy: New Seduction (1997),1
Ten Benny (1997),0
Tora! Tora! Tora! (1970),3
Women on the Verge of a Nervous Breakdown (1988),3
"Verdict, The (1982)",3
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",1
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",4
Stand and Deliver (1987),3
Moonstruck (1987),4
"Sandpiper, The (1965)",1
Jeremiah Johnson (1972),3
Repulsion (1965),2
Irma la Douce (1963),2
42 Up (1998),2
Liberty Heights (1999),2
Mansfield Park (1999),2
"Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)",0
Sleepy Hollow (1999),4
"World Is Not Enough, The (1999)",4
All About My Mother (Todo Sobre Mi Madre) (1999),3
Home Page (1999),0
"Living Dead Girl, The (La Morte Vivante) (1982)",0
March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),2
Scrooged (1988),4
Harvey (1950),3
"Bicycle Thief, The (Ladri di biciclette) (1948)",3
Matewan (1987),3
Kagemusha (1980),2
Chushingura (1962),1
McCabe & Mrs. Miller (1971),3
Maurice (1987),2
"Grapes of Wrath, The (1940)",4
My Man Godfrey (1957),2
"Shop Around the Corner, The (1940)",3
"Natural, The (1984)",4
Shampoo (1975),3
"River Runs Through It, A (1992)",4
Fatal Attraction (1987),4
Jagged Edge (1985),3
Stanley & Iris (1990),2
Midnight Run (1988),4
Awakenings (1990),4
Come See the Paradise (1990),1
Backdraft (1991),4
"Fisher King, The (1991)",4
"River, The (1984)",1
Country (1984),1
Places in the Heart (1984),3
'Night Mother (1986),2
End of Days (1999),4
Toy Story 2 (1999),4
Flawless (1999),2
Miss Julie (1999),0
Ride with the Devil (1999),2
Tumbleweeds (1999),2
Bay of Blood (Reazione a catena) (1971),0
"Distinguished Gentleman, The (1992)",2
"Hitch-Hiker, The (1953)",1
Santa Fe Trail (1940),1
Spring Fever USA (a.k.a. Lauderdale) (1989),0
Agnes Browne (1999),1
"End of the Affair, The (1999)",3
"End of the Affair, The (1955)",0
Holy Smoke (1999),1
"Map of the World, A (1999)",1
Sweet and Lowdown (1999),3
Bonfire of the Vanities (1990),2
Broadway Damage (1997),0
Daddy Long Legs (1919),1
Go West (1925),1
"Grand Illusion (Grande illusion, La) (1937)",2
"Great Santini, The (1979)",3
"James Dean Story, The (1957)",0
"Sea Wolves, The (1980)",0
Stealing Home (1988),2
Tarzan the Fearless (1933),1
"Three Ages, The (1923)",0
"Two Jakes, The (1990)",1
U2: Rattle and Hum (1988),2
Hell in the Pacific (1968),1
"Glass Bottom Boat, The (1966)",1
"Cradle Will Rock, The (1999)",3
Deuce Bigalow: Male Gigolo (1999),3
"Green Mile, The (1999)",4
"Cider House Rules, The (1999)",4
Diamonds (1999),0
"War Zone, The (1999)",1
"Bat Whispers, The (1930)",0
"Last Picture Show, The (1971)",3
"7th Voyage of Sinbad, The (1958)",3
Blood on the Sun (1945),0
Anna and the King (1999),3
Bicentennial Man (1999),3
Stuart Little (1999),4
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",1
Fantasia 2000 (1999),4
Magnolia (1999),4
Onegin (1999),1
Simpatico (1999),1
Topsy-Turvy (1999),3
"Alley Cats, The (1968)",0
Boiling Point (1993),1
Brenda Starr (1989),0
Carnal Knowledge (1971),2
Easy Rider (1969),4
"Falcon and the Snowman, The (1984)",3
Hi-Yo Silver (1940),0
Room at the Top (1959),1
Ulysses (Ulisse) (1954),0
Any Given Sunday (1999),4
Man on the Moon (1999),4
Galaxy Quest (1999),4
"Talented Mr. Ripley, The (1999)",4
Next Friday (1999),2
"Hurricane, The (1999)",4
Angela's Ashes (1999),3
Play it to the Bone (1999),2
Titus (1999),2
Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),2
"Third Miracle, The (1999)",1
Montana (1998),0
Snow Falling on Cedars (1999),3
"Girl, Interrupted (1999)",4
Trans (1998),0
"Life and Times of Hank Greenberg, The (1998)",1
My Dog Skip (1999),3
Supernova (2000),2
"Quarry, The (1998)",0
"Terrorist, The (Malli) (1998)",1
Creature (1999),0
"Way We Were, The (1973)",3
Tess of the Storm Country (1922),0
Stalag 17 (1953),3
"Presidio, The (1988)",3
Papillon (1973),3
Pal Joey (1957),2
"Last Detail, The (1973)",2
Five Easy Pieces (1970),3
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),0
Dead Calm (1989),4
"Boys from Brazil, The (1978)",3
Black Sunday (La Maschera Del Demonio) (1960),0
Against All Odds (1984),2
"Snows of Kilimanjaro, The (1952)",0
Loaded Weapon 1 (1993),3
"Loves of Carmen, The (1948)",0
Fast Times at Ridgemont High (1982),4
"Cry in the Dark, A (1988)",2
Born to Win (1971),0
Batman: Mask of the Phantasm (1993),3
American Flyers (1985),2
Voyage of the Damned (1976),0
Vampyros Lesbos (Las Vampiras) (1970),0
"Star Is Born, A (1937)",2
Poison (1991),1
Pacific Heights (1990),4
Night Tide (1961),0
"Draughtsman's Contract, The (1982)",1
Carmen (1984),1
"Zed & Two Noughts, A (1985)",1
Woman in the Dunes (Suna no onna) (1964),2
Down to You (2000),2
Hellhounds on My Trail (1999),0
"Not Love, Just Frenzy (Más que amor, frenesí) (1996)",0
Wirey Spindell (1999),0
Another Man's Poison (1952),0
"Odessa File, The (1974)",2
"Saphead, The (1920)",0
Seven Chances (1925),0
Smashing Time (1967),0
Train Ride to Hollywood (1978),0
Where the Buffalo Roam (1980),2
Zachariah (1971),0
Kestrel's Eye (Falkens öga) (1998),0
Eye of the Beholder (1999),3
Isn't She Great? (2000),1
"Big Tease, The (1999)",1
"Cup, The (Phörpa) (1999)",1
Santitos (1997),0
Encino Man (1992),3
"Goodbye Girl, The (1977)",3
I Am Cuba (Soy Cuba/Ya Kuba) (1964),0
Malcolm X (1992),4
Sister Act (1992),4
Sister Act 2: Back in the Habit (1993),3
"Hand That Rocks the Cradle, The (1992)",3
Alive (1993),3
Agnes of God (1985),3
Scent of a Woman (1992),4
Wayne's World (1992),4
Wayne's World 2 (1993),4
"League of Their Own, A (1992)",4
Patriot Games (1992),4
"Bodyguard, The (1992)",4
Death Becomes Her (1992),3
Far and Away (1992),3
Howards End (1992),4
Singles (1992),4
Twin Peaks: Fire Walk with Me (1992),2
White Men Can't Jump (1992),4
Buffy the Vampire Slayer (1992),4
Hard-Boiled (Lashou shentan) (1992),3
Man Bites Dog (C'est arrivé près de chez vous) (1992),2
"Mariachi, El (1992)",4
Stop! Or My Mom Will Shoot (1992),3
Forever Young (1992),4
"Cutting Edge, The (1992)",3
Of Mice and Men (1992),3
Bad Lieutenant (1992),2
Scream 3 (2000),4
Single White Female (1992),4
"Boondock Saints, The (1999)",2
Gun Shy (2000),1
Beloved/Friend (Amigo/Amado) (1999),0
Gendernauts (1999),0
Knockout (1999),0
"Baby, The (1973)",0
"Brandon Teena Story, The (1998)",1
Different for Girls (1996),0
Minnie and Moskowitz (1971),0
They Might Be Giants (1971),1
"Beach, The (2000)",4
Snow Day (2000),2
"Tigger Movie, The (2000)",2
Cotton Mary (1999),0
Not One Less (Yi ge dou bu neng shao) (1999),1
Soft Toilet Seats (1999),0
Trois (2000),0
"Big Combo, The (1955)",0
Conceiving Ada (1997),0
Eaten Alive (1976),0
Raining Stones (1993),0
To Sir with Love (1967),3
With Byrd at the South Pole (1930),0
Boiler Room (2000),4
Hanging Up (2000),3
Pitch Black (2000),4
"Whole Nine Yards, The (2000)",4
Beautiful People (1999),1
Black Tar Heroin: The Dark End of the Street (1999),0
Blue Collar (1978),1
Bluebeard (1944),0
"Circus, The (1928)",1
City Lights (1931),3
"Flamingo Kid, The (1984)",3
"Dog's Life, A (1920)",1
"Kid, The (1921)",1
"Man from Laramie, The (1955)",1
"McCullochs, The (1975)",0
Class Reunion (1982),1
"Big Trees, The (1952)",0
Happy Go Lovely (1951),0
Reindeer Games (2000),3
Wonder Boys (2000),4
Deterrence (1998),1
Judy Berlin (1999),1
Mifune (Mifunes sidste sang) (1999),1
"Waiting Game, The (2000)",0
3 Strikes (2000),0
Chain of Fools (2000),0
Drowning Mona (2000),3
"Next Best Thing, The (2000)",2
What Planet Are You From? (2000),3
Beyond the Mat (2000),2
Ghost Dog: The Way of the Samurai (1999),3
"Year My Voice Broke, The (1987)",1
Splendor in the Grass (1961),2
My Tutor (1983),1
"Legend of Lobo, The (1962)",0
"Killing of Sister George, The (1968)",0
Key Largo (1948),4
Jail Bait (1954),0
It Happened Here (1961),0
I'll Never Forget What's 'is Name (1967),0
For All Mankind (1989),1
Cross of Iron (1977),1
Bride of the Monster (1956),2
Born Yesterday (1950),3
Birdy (1984),3
And God Created Woman (1988),1
Blood Feast (1963),1
"Charlie, the Lonesome Cougar (1967)",1
Color Me Blood Red (1965),0
Never Cry Wolf (1983),3
"Night Visitor, The (1970)",0
"Perils of Pauline, The (1947)",1
"Raisin in the Sun, A (1961)",2
Two Thousand Maniacs! (1964),0
Brown's Requiem (1998),0
"Closer You Get, The (2000)",0
Mission to Mars (2000),4
"Ninth Gate, The (2000)",3
Condo Painting (2000),0
East-West (Est-ouest) (1999),2
Defending Your Life (1991),4
Breaking Away (1979),4
Hoosiers (1986),4
Bull Durham (1988),4
Dog Day Afternoon (1975),4
American Graffiti (1973),4
"Asphalt Jungle, The (1950)",2
"Searchers, The (1956)",3
Where Eagles Dare (1969),3
"Devil's Brigade, The (1968)",1
"Big Country, The (1958)",1
Any Number Can Win (Mélodie en sous-sol ) (1963),0
Betrayed (1988),2
Bound for Glory (1976),1
"Bridge at Remagen, The (1969)",1
Buck and the Preacher (1972),0
Daughters of the Dust (1992),0
Destination Moon (1950),2
"Fantastic Night, The (La Nuit Fantastique) (1949)",0
Hangmen Also Die (1943),0
"Ogre, The (Der Unhold) (1996)",0
On the Beach (1959),2
Railroaded! (1947),0
Slaves to the Underground (1997),0
Song of Freedom (1936),0
Big Fella (1937),0
"Taking of Pelham One Two Three, The (1974)",3
Volunteers (1985),2
JFK (1991),4
Who's Harry Crumb? (1989),2
Harry and the Hendersons (1987),3
Let's Get Harry (1986),1
Shanghai Surprise (1986),1
Who's That Girl? (1987),2
She-Devil (1989),2
Date with an Angel (1987),1
Blind Date (1987),3
Nadine (1987),1
"Muppet Movie, The (1979)",4
"Great Muppet Caper, The (1981)",3
"Muppets Take Manhattan, The (1984)",3
Sesame Street Presents Follow That Bird (1985),2
We're Back! A Dinosaur's Story (1993),1
Baby... Secret of the Lost Legend (1985),2
Turtle Diary (1985),1
Raise the Titanic (1980),1
Titanic (1953),3
"Night to Remember, A (1958)",2
Captain Horatio Hornblower (1951),2
"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)",0
Erin Brockovich (2000),4
Final Destination (2000),4
Soft Fruit (1999),0
Babymother (1998),0
"Bear, The (1988)",3
Impact (1949),0
Love Is a Many-Splendored Thing (1955),1
"Mirror, The (Zerkalo) (1975)",1
"Trial, The (Le Procès) (1963)",1
"Crimson Pirate, The (1952)",2
Thelma & Louise (1991),4
Something for Everyone (1970),0
...And Justice for All (1979),3
Animal House (1978),4
She's Gotta Have It (1986),3
School Daze (1988),2
Do the Right Thing (1989),4
Mo' Better Blues (1990),2
Jungle Fever (1991),3
Coogan's Bluff (1968),2
"Champ, The (1979)",1
Creature Comforts (1990),3
Death Wish (1974),3
Death Wish II (1982),2
Death Wish 3 (1985),2
Death Wish 4: The Crackdown (1987),1
Death Wish V: The Face of Death (1994),1
Double Indemnity (1944),4
Dying Young (1991),2
Cool as Ice (1991),0
Teenage Mutant Ninja Turtles (1990),4
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),3
Teenage Mutant Ninja Turtles III (1993),3
Red Dawn (1984),4
Band of the Hand (1986),1
Born American (1986),0
Bloodsport (1988),3
Eyes of Laura Mars (1978),2
Funny Bones (1995),1
"Good Earth, The (1937)",2
"Good Morning, Vietnam (1987)",4
"Good Mother, The (1988)",1
Grumpy Old Men (1993),4
Guess Who's Coming to Dinner (1967),3
Romeo Must Die (2000),3
Here on Earth (2000),2
Whatever It Takes (2000),1
Buddy Boy (1999),0
"Color of Paradise, The (Rang-e Khoda) (1999)",2
Waking the Dead (1999),2
Blood and Sand (Sangre y Arena) (1989),0
Gothic (1986),1
Hillbillys in a Haunted House (1967),0
Lord of the Flies (1963),3
Modern Times (1936),3
Last Resort (1994),0
Solar Crisis (1993),1
That's Life! (1986),1
Heart and Souls (1993),3
Hud (1963),3
"Hustler, The (1961)",4
Inherit the Wind (1960),3
Dersu Uzala (1974),2
Close Encounters of the Third Kind (1977),4
Horror Hotel (a.k.a. The City of the Dead) (1960),0
Jonah Who Will Be 25 in the Year 2000 (1976),1
Retroactive (1997),0
"Place in the Sun, A (1951)",2
Jacob's Ladder (1990),4
Empire Records (1995),3
"Bamba, La (1987)",3
Ladyhawke (1985),4
Lucas (1986),2
High Fidelity (2000),4
Price of Glory (2000),0
"Road to El Dorado, The (2000)",2
"Skulls, The (2000)",3
Autopsy (Macchie Solari) (1975),0
Devil Girl From Mars (1954),0
"Dorado, El (1967)",2
"Hideous Sun Demon, The (1959)",1
Hook (1991),4
Horror Express (1972),1
My Chauffeur (1986),2
"Son of the Sheik, The (1926)",0
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),0
True Grit (1969),3
Roadside Prophets (1992),0
Madame Sousatzka (1988),1
Max Dugan Returns (1983),2
Midnight Express (1978),3
Misery (1990),4
Mr. Saturday Night (1992),3
Murphy's Romance (1985),3
My Life (1993),2
Solaris (Solyaris) (1972),2
Network (1976),4
No Way Out (1987),3
North Dallas Forty (1979),2
"Odd Couple, The (1968)",3
"Outlaw Josey Wales, The (1976)",3
Black and White (1999),2
Frequency (2000),4
Ready to Rumble (2000),2
Return to Me (2000),4
Rules of Engagement (2000),4
Joe Gould's Secret (2000),1
Me Myself I (2000),3
"Bell, Book and Candle (1958)",3
"Bells, The (1926)",0
"End of Violence, The (1997)",1
Force 10 from Navarone (1978),3
How to Stuff a Wild Bikini (1965),1
Mystery Train (1989),3
Sacco and Vanzetti (Sacco e Vanzetti) (1971),0
Taffin (1988),0
Arthur (1981),4
Bachelor Party (1984),3
Parenthood (1989),4
Predator (1987),4
"Prince of Tides, The (1991)",3
"Postman Always Rings Twice, The (1981)",2
Smoking/No Smoking (1993),0
All the Vermeers in New York (1990),1
Freedom for Us (À nous la liberté ) (1931),1
"Actor's Revenge, An (Yukinojo Henge) (1963)",0
28 Days (2000),4
American Psycho (2000),4
Keeping the Faith (2000),4
Where the Money Is (2000),1
East is East (1999),3
"Filth and the Fury, The (2000)",1
Passion of Mind (1999),1
Third World Cop (1999),0
Coming Apart (1969),0
Diner (1982),4
Shakes the Clown (1991),2
Cabaret (1972),4
What Ever Happened to Baby Jane? (1962),3
Prick Up Your Ears (1987),2
Auntie Mame (1958),3
Guys and Dolls (1955),3
"Hunger, The (1983)",2
Marathon Man (1976),3
Caddyshack (1980),4
Gossip (2000),2
Love and Basketball (2000),2
U-571 (2000),4
"Virgin Suicides, The (1999)",3
Jennifer 8 (1992),2
"Law, The (Le Legge) (1958)",0
Limelight (1952),1
Phantom Love (Ai No Borei) (1978),0
Stacy's Knights (1982),0
Committed (2000),1
"Crow: Salvation, The (2000)",0
"Flintstones in Viva Rock Vegas, The (2000)",2
Where the Heart Is (2000),3
"Big Kahuna, The (2000)",3
Bossa Nova (1999),1
Smiling Fish and Goat on Fire (1999),1
"Idiots, The (Idioterne) (1998)",1
"Last September, The (1999)",0
Time Code (2000),2
Carnosaur (1993),2
Carnosaur 2 (1995),1
Carnosaur 3: Primal Species (1996),1
Defying Gravity (1997),0
"Hidden, The (1987)",3
Two Moon Juction (1988),1
Gladiator (2000),4
I Dreamed of Africa (2000),2
Up at the Villa (2000),1
Human Traffic (1999),0
"Jails, Hospitals & Hip-Hop (2000)",0
Black Tights (Les Collants Noirs) (1960),0
Breathless (1983),2
"Great Locomotive Chase, The (1956)",1
"Idolmaker, The (1980)",1
Inferno (1980),1
"King of Marvin Gardens, The (1972)",1
"Kill, Baby... Kill! (Operazione Paura) (1966)",0
"Lords of Flatbush, The (1974)",2
Mr. Mom (1983),4
Time Masters (Les Maîtres du Temps) (1982),0
Battlefield Earth (2000),3
Center Stage (2000),3
Held Up (2000),0
Screwed (2000),1
Whipped (2000),1
Hamlet (2000),3
Anchors Aweigh (1945),2
Blue Hawaii (1961),2
"Castaway Cowboy, The (1974)",0
G. I. Blues (1960),1
"Gay Deceivers, The (1969)",0
Gypsy (1962),2
King Creole (1958),1
On the Town (1949),2
One Little Indian (1973),0
Pee-wee's Big Adventure (1985),4
Regret to Inform (1998),0
Roustabout (1964),1
Saludos Amigos (1943),0
"Slipper and the Rose, The (1976)",1
Things Change (1988),2
Honeymoon in Vegas (1992),4
Dinosaur (2000),3
Loser (2000),2
Road Trip (2000),4
Small Time Crooks (2000),3
"Hollywood Knights, The (1980)",2
"Myth of Fingerprints, The (1997)",1
Possession (1981),0
"Twelve Chairs, The (1970)",2
Mission: Impossible 2 (2000),4
Shanghai Noon (2000),4
Better Living Through Circuitry (1999),0
8 1/2 Women (1999),1
Carnival of Souls (1962),2
Flying Tigers (1942),2
"Gold Rush, The (1925)",3
"House of Exorcism, The (La Casa dell'esorcismo) (1974)",0
It's in the Water (1998),0
Monsieur Verdoux (1947),1
On Her Majesty's Secret Service (1969),3
Seven Days in May (1964),2
"Spy Who Loved Me, The (1977)",4
Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train) (1998),0
Vagabond (Sans toit ni loi) (1985),1
Moonraker (1979),4
"Man with the Golden Gun, The (1974)",4
"King in New York, A (1957)",0
"Woman of Paris, A (1923)",0
In Old California (1942),0
"Fighting Seabees, The (1944)",2
Dark Command (1940),1
Cleo From 5 to 7 (Cléo de 5 à 7) (1962),1
Big Momma's House (2000),3
Running Free (2000),0
"Abominable Snowman, The (1957)",0
American Gigolo (1980),3
Anguish (Angustia) (1986),0
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",0
City of the Living Dead (Paura nella città dei morti viventi) (1980),0
"Endless Summer, The (1966)",2
"Guns of Navarone, The (1961)",4
Blow-Out (La Grande Bouffe) (1973),1
Lured (1947),0
Pandora and the Flying Dutchman (1951),0
Quatermass and the Pit (1967),2
Quatermass II (1957),1
Puppet Master (1989),2
Puppet Master II (1990),2
Puppet Master III: Toulon's Revenge (1991),2
Puppet Master 4 (1993),1
Puppet Master 5: The Final Chapter (1994),1
Curse of the Puppet Master (1998),1
Retro Puppetmaster (1999),0
Rent-A-Cop (1988),1
Romeo and Juliet (1968),3
Stay Tuned (1992),2
"Story of G.I. Joe, The (1945)",1
Blazing Saddles (1974),4
Benji (1974),2
Benji the Hunted (1987),1
For the Love of Benji (1977),1
White Christmas (1954),3
Eraserhead (1977),3
Baraka (1992),1
"Man with the Golden Arm, The (1955)",2
"Decline of Western Civilization, The (1981)",1
"Decline of Western Civilization Part II: The Metal Years, The (1988)",1
For a Few Dollars More (1965),3
Magnum Force (1973),3
Blood Simple (1984),4
"Fabulous Baker Boys, The (1989)",3
Prizzi's Honor (1985),4
Flatliners (1990),4
Light Years (1988),0
Porky's (1981),3
Porky's II: The Next Day (1983),2
Porky's Revenge (1985),2
Private School (1983),1
Class of Nuke 'Em High (1986),1
"Toxic Avenger, The (1985)",3
"Toxic Avenger, Part II, The (1989)",1
"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",1
Night of the Creeps (1986),2
Predator 2 (1990),4
"Running Man, The (1987)",4
Starman (1984),4
"Brother from Another Planet, The (1984)",3
Alien Nation (1988),4
Mad Max (1979),4
Mad Max 2 (a.k.a. The Road Warrior) (1981),4
Mad Max Beyond Thunderdome (1985),4
Bird on a Wire (1990),3
Angel Heart (1987),4
Nine 1/2 Weeks (1986),3
Firestarter (1984),3
Sleepwalkers (1992),2
Action Jackson (1988),3
Sarafina! (1992),1
Soapdish (1991),3
"Long Walk Home, The (1990)",2
Clara's Heart (1988),2
Burglar (1987),2
Fatal Beauty (1987),2
Gone in 60 Seconds (2000),4
American Pimp (1999),1
Love's Labour's Lost (2000),1
Sunshine (1999),2
Trixie (1999),1
Live Virgin (1999),0
Hamlet (1990),3
Coming Home (1978),3
American Pop (1981),2
Assault on Precinct 13 (1976),2
Near Dark (1987),2
One False Move (1991),2
Shaft (1971),3
"Conversation, The (1974)",4
Cutter's Way (1981),1
"Fury, The (1978)",2
"Paper Chase, The (1973)",3
Prince of the City (1981),1
Serpico (1973),4
"Big Carnival, The (1951)",1
Lonely Are the Brave (1962),1
"Sugarland Express, The (1974)",2
Trouble in Paradise (1932),1
Big Trouble in Little China (1986),4
Badlands (1973),3
"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",3
Boys and Girls (2000),2
Shaft (2000),4
Titan A.E. (2000),4
Butterfly (La Lengua de las Mariposas) (2000),2
Jesus' Son (1999),2
"Match, The (1999)",0
Time Regained (Le Temps Retrouvé) (1999),1
Boricua's Bond (2000),0
Chicken Run (2000),4
"Me, Myself and Irene (2000)",4
"Patriot, The (2000)",4
"Adventures of Rocky and Bullwinkle, The (2000)",3
"Perfect Storm, The (2000)",4
"Golden Bowl, The (2000)",1
Asylum (1972),1
Communion (1989),2
Fun and Fancy Free (1947),1
"Kentucky Fried Movie, The (1977)",3
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",1
Daughter of Dr. Jeckyll (1957),0
F/X (1986),4
F/X 2 (1992),3
"Hot Spot, The (1990)",1
Missing in Action (1984),3
Missing in Action 2: The Beginning (1985),2
Braddock: Missing in Action III (1988),2
Thunderbolt and Lightfoot (1974),3
Dreamscape (1984),3
"Golden Voyage of Sinbad, The (1974)",2
